,ticker,name,industry,sub-industry,date_added,cik,found_year
343,NLOK,NortonLifeLock,Information Technology,Application Software,2003-03-25,849399,1982
344,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13,1513761,2011 (1966)
345,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29,1013871,1992
346,NUE,Nucor,Materials,Steel,1985-04-30,73309,1940
347,NVDA,Nvidia,Information Technology,Semiconductors,2001-11-30,1045810,1993
348,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,2019-09-26,906163,1980
349,NXPI,NXP Semiconductors,Information Technology,Semiconductors,2021-03-22,1413447,1953
350,ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,2009-03-27,898173,1957
351,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1982-12-31,797468,1920
352,ODFL,Old Dominion,Industrials,Trucking,2019-12-09,878927,1934
353,OMC,Omnicom Group,Communication Services,Advertising,,29989,1986
354,ON,ON Semiconductor,Information Technology,Semiconductors,2022-06-21,1097864,1999
355,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,2010-03-15,1039684,1906
356,ORCL,Oracle Corporation,Information Technology,Application Software,1989-08-31,1341439,1977
357,OGN,Organon & Co.,Health Care,Pharmaceuticals,2021-06-03,1821825,2021
358,OTIS,Otis Worldwide,Industrials,Industrial Machinery,2020-04-03,1781335,2020 (1853)
359,PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,1980-12-31,75362,1905
360,PKG,Packaging Corporation of America,Materials,Paper Packaging,2017-07-26,75677,1959
361,PARA,Paramount Global,Communication Services,Movies & Entertainment,,813828,2019 (1952)
362,PH,Parker Hannifin,Industrials,Industrial Machinery,1985-11-30,76334,1917
363,PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,,723531,1971
364,PAYC,Paycom,Information Technology,Application Software,2020-01-28,1590955,1998
365,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,2015-07-20,1633917,1998
366,PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,2021-03-22,921738,1972
367,PNR,Pentair,Industrials,Industrial Machinery,2012-10-01,77360,1966
368,PEP,PepsiCo,Consumer Staples,Soft Drinks,1957-03-04,77476,1898
369,PKI,PerkinElmer,Health Care,Health Care Equipment,1985-05-31,31791,1937
370,PFE,Pfizer,Health Care,Pharmaceuticals,1957-03-04,78003,1849
371,PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31,1413329,2008 (1847)
372,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012-05-01,1534701,2012 (1917)
373,PNW,Pinnacle West,Utilities,Multi-Utilities,,764622,1985
374,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,2008-09-24,1038357,1997
375,PNC,PNC Financial Services,Financials,Regional Banks,1988-04-30,713676,1845
376,POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-07,945841,1993
377,PPG,PPG Industries,Materials,Specialty Chemicals,1957-03-04,79879,1883
378,PPL,PPL Corporation,Utilities,Electric Utilities,,922224,1920
379,PFG,Principal Financial Group,Financials,Life & Health Insurance,2002-07-22,1126328,1879
380,PG,Procter & Gamble,Consumer Staples,Personal Products,1957-03-04,80424,1837
381,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1997-08-04,80661,1937
382,PLD,Prologis,Real Estate,Industrial REITs,2003-07-17,1045609,1983
383,PRU,Prudential Financial,Financials,Life & Health Insurance,2002-07-22,1137774,1875
384,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,1957-03-04,788784,1903
385,PTC,PTC,Information Technology,Application Software,2021-04-20,857005,1985
386,PSA,Public Storage,Real Estate,Specialized REITs,2005-08-19,1393311,1972
387,PHM,PulteGroup,Consumer Discretionary,Homebuilding,1984-04-30,822416,1956
388,PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2013-02-15,78239,1881
389,QRVO,Qorvo,Information Technology,Semiconductors,2015-06-11,1604778,2015
390,PWR,Quanta Services,Industrials,Construction & Engineering,2009-07-01,1050915,1997
391,QCOM,Qualcomm,Information Technology,Semiconductors,,804328,1985
392,DGX,Quest Diagnostics,Health Care,Health Care Services,2002-12-12,1022079,1967
393,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2007-02-02,1037038,1967
394,RJF,Raymond James,Financials,Investment Banking & Brokerage,2017-03-20,720005,1962
395,RTX,Raytheon Technologies,Industrials,Aerospace & Defense,,101829,1922
396,O,Realty Income,Real Estate,Retail REITs,2015-04-07,726728,1969
397,REG,Regency Centers,Real Estate,Retail REITs,2017-03-02,910606,1963
398,REGN,Regeneron,Health Care,Biotechnology,2013-05-01,872589,1988
399,RF,Regions Financial Corporation,Financials,Regional Banks,1998-08-28,1281761,1971
400,RSG,Republic Services,Industrials,Environmental & Facilities Services,2008-12-05,1060391,1998 (1981)
401,RMD,ResMed,Health Care,Health Care Equipment,2017-07-26,943819,1989
402,RHI,Robert Half,Industrials,Human Resource & Employment Services,2000-12-05,315213,1948
403,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,,1024478,1903
404,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2018-10-01,84839,1948
405,ROP,Roper Technologies,Industrials,Industrial Conglomerates,2009-12-23,882835,1981
406,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,2009-12-21,745732,1982
407,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2014-12-05,884887,1997
408,SPGI,S&P Global,Financials,Financial Exchanges & Data,,64040,1917
409,CRM,Salesforce,Information Technology,Application Software,2008-09-15,1108524,1999
410,SBAC,SBA Communications,Real Estate,Specialized REITs,2017-09-01,1034054,1989
411,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,1965-03-31,87347,1926
412,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2012-07-02,1137789,1979
413,SEE,Sealed Air,Materials,Paper Packaging,1957-03-04,1012100,1960
414,SRE,Sempra Energy,Utilities,Multi-Utilities,,1032208,1998
415,NOW,ServiceNow,Information Technology,Systems Software,2019-11-21,1373715,2003
416,SHW,Sherwin-Williams,Materials,Specialty Chemicals,1964-06-30,89800,1866
417,SBNY,Signature Bank,Financials,Regional Banks,2021-12-20,1288784,2001
418,SPG,Simon Property Group,Real Estate,Retail REITs,2002-06-26,1063761,2003
419,SWKS,Skyworks Solutions,Information Technology,Semiconductors,2015-03-12,4127,2002
420,SJM,The J.M. Smucker Company,Consumer Staples,Packaged Foods & Meats,2008-11-06,91419,1897
421,SNA,Snap-on,Industrials,Industrial Machinery,1982-09-30,91440,1920
422,SEDG,SolarEdge,Information Technology,Semiconductor Equipment,2021-12-20,1419612,2006
423,SO,Southern Company,Utilities,Electric Utilities,1957-03-04,92122,1945
424,LUV,Southwest Airlines,Industrials,Airlines,1994-07-01,92380,1967
425,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,1982-09-30,93556,1843
426,SBUX,Starbucks,Consumer Discretionary,Restaurants,2000-06-07,829224,1971
427,STT,State Street Corporation,Financials,Asset Management & Custody Banks,,93751,1792
428,STE,Steris,Health Care,Health Care Equipment,2019-12-23,1757898,1985
429,SYK,Stryker Corporation,Health Care,Health Care Equipment,2000-12-12,310764,1941
430,SIVB,SVB Financial,Financials,Regional Banks,2018-03-19,719739,1983
431,SYF,Synchrony Financial,Financials,Consumer Finance,2015-11-18,1601712,2003
432,SNPS,Synopsys,Information Technology,Application Software,2017-03-16,883241,1986
433,SYY,Sysco,Consumer Staples,Food Distributors,1986-12-31,96021,1969
434,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2019-07-15,1283699,1994
435,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,,1113169,1937
436,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,2018-03-19,946581,1993
437,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",,1116132,2017
438,TGT,Target Corporation,Consumer Discretionary,General Merchandise Stores,1976-12-31,27419,1902
439,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,2011-10-17,1385157,2007
440,TDY,Teledyne Technologies,Industrials,Aerospace & Defense,2020-06-22,1094285,1960
441,TFX,Teleflex,Health Care,Health Care Equipment,2019-01-18,96943,1943
442,TER,Teradyne,Information Technology,Semiconductor Equipment,2020-09-21,97210,1960
443,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,2020-12-21,1318605,2003
444,TXN,Texas Instruments,Information Technology,Semiconductors,,97476,1930
445,TXT,Textron,Industrials,Aerospace & Defense,1978-12-31,217346,1923
446,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,2004-08-03,97745,2006 (1902)
447,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,1985-09-30,109198,1987
448,TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,2014-01-24,916365,1938
449,TT,Trane Technologies,Industrials,Building Products,2010-11-17,1466258,1871
450,TDG,TransDigm Group,Industrials,Aerospace & Defense,2016-06-03,1260221,1993
451,TRV,The Travelers Companies,Financials,Property & Casualty Insurance,2002-08-21,86312,1853
452,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,2021-01-21,864749,1978
453,TFC,Truist,Financials,Regional Banks,1997-12-04,92230,1872
454,TWTR,Twitter Inc.,Communication Services,Interactive Media & Services,2018-06-07,1418091,2006
455,TYL,Tyler Technologies,Information Technology,Application Software,2020-06-22,860731,1966
456,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,2005-08-10,100493,1935
457,USB,U.S. Bank,Financials,Diversified Banks,,36104,1968
458,UDR,"UDR, Inc.",Real Estate,Residential REITs,2016-03-07,74208,1972
459,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,2016-04-18,1403568,1990
460,UNP,Union Pacific Corporation,Industrials,Railroads,1957-03-04,100885,1862
461,UAL,United Airlines Holdings,Industrials,Airlines,2015-09-03,100517,1967
462,UPS,United Parcel Service,Industrials,Air Freight & Logistics,2002-07-22,1090727,1907
463,URI,United Rentals,Industrials,Trading Companies & Distributors,2014-09-20,1067701,1997
464,UNH,UnitedHealth Group,Health Care,Managed Health Care,1994-07-01,731766,1977
465,UHS,Universal Health Services,Health Care,Health Care Facilities,2014-09-20,352915,1979
466,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,,1035002,1980
467,VTR,Ventas,Real Estate,Health Care REITs,2009-03-04,740260,1998
468,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,2006-02-01,1014473,1995
469,VRSK,Verisk,Industrials,Research & Consulting Services,2015-10-08,1442145,1971
470,VZ,Verizon,Communication Services,Integrated Telecommunication Services,1983-11-30,732712,1983 (1877)
471,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,2013-09-23,875320,1989
472,VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979-06-30,103379,1899
473,VTRS,Viatris,Health Care,Pharmaceuticals,2004-04-23,1792044,1961
474,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,2022-06-08,1705696,2017
475,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,2009-12-21,1403161,1958
476,VNO,Vornado Realty Trust,Real Estate,Office REITs,2005,899689,1982
477,VMC,Vulcan Materials Company,Materials,Construction Materials,1999-06-30,1396009,1909
478,WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,2019-02-27,943452,1999 (1869)
479,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31,1618921,2014
480,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,1982-08-31,104169,1962
481,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,2022-04-11,1437107,2022
482,WM,Waste Management,Industrials,Environmental & Facilities Services,,823768,1968
483,WAT,Waters Corporation,Health Care,Health Care Distributors,,1000697,1958
484,WEC,WEC Energy Group,Utilities,Electric Utilities,2008-10-31,783325,1896
485,WFC,Wells Fargo,Financials,Diversified Banks,1976-06-30,72971,1852
486,WELL,Welltower,Real Estate,Health Care REITs,2009-01-30,766704,1970
487,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020-05-22,105770,1923
488,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01,106040,1970
489,WRK,WestRock,Materials,Paper Packaging,,1732845,2015
490,WY,Weyerhaeuser,Real Estate,Specialized REITs,,106535,1900
491,WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,,106640,1911
492,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1975-03-31,107263,1908
493,WTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05,1140536,2016
494,GWW,W. W. Grainger,Industrials,Industrial Machinery,1981-06-30,277135,1927
495,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,2008-11-14,1174922,2002
496,XEL,Xcel Energy,Utilities,Multi-Utilities,1957-03-04,72903,1909
497,XYL,Xylem Inc.,Industrials,Industrial Machinery,2011-11-01,1524472,2011
498,YUM,Yum! Brands,Consumer Discretionary,Restaurants,1997-10-06,1041061,1997
499,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,2019-12-23,877212,1969
500,ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001-08-07,1136869,1927
501,ZION,Zions Bancorporation,Financials,Regional Banks,2001-06-22,109380,1873
502,ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21,1555280,1952
